ID Siniestro,ID Póliza,ID Asegurado,Ramo,Placa Vehículo Asegurado,Cobertura,Fecha Ocurrencia,Fecha Reporte,Días Ocurr→Reporte,Monto Reclamado ($),Monto Estimado ($),Monto Pagado ($),Estado,Sucursal,ID Proveedor,Descripción del Evento,Docs Completos,Prov. Lista Restrictiva,Días desde Inicio Póliza,Días hasta Fin Póliza,N° Reclamos Previos Asegurado,Suma Asegurada ($),Similitud Narrativa Máx.,Número Parte Policial,Documentos Inconsistentes,Tercero Identificado,Dinamica Sospechosa,Etiqueta Fraude Simulada
SIN-D3-0001,POL-D3-0001,ASEG-D3-0051,Salud,,Emergencia,2025-03-25,2025-03-25,0,22296,19427,13755,Observado,Guayaquil,HOSP-101,Dano por agua reportado despues de reparacion completa; no hay evidencia previa y monto cercano a suma asegurada.,No,No,3,362,4,25000,0.97,,No,Si,Si,1
SIN-D3-0002,POL-D3-0002,ASEG-D3-0033,Hogar,,Dano por Agua,2026-03-17,2026-04-01,15,78498,70404,0,Pendiente Documentos,Guayaquil,PER-101,Choque en lugar poco transitado sin tercero identificado; descripcion vaga y proveedor recurrente sugerido por el asegurado.,No,Si,364,1,2,80000,0.87,,No,Si,Si,1
SIN-D3-0003,POL-D3-0003,ASEG-D3-0047,Vehiculos,PBA-3101,Responsabilidad Civil,2026-02-28,2026-02-28,0,55748,46448,0,Observado,Quito,TALLER-104,Perdida total reportada cerca del inicio de vigencia; documentos incompletos y relato cambia entre declaraciones. No se identifica tercero ni soporte externo verificable.,Si,No,364,1,3,60000,0.64,PP-D3-0003,No,No,No,1
SIN-D3-0004,POL-D3-0004,ASEG-D3-0019,Vehiculos,AMB-6649,Danos Parciales,2025-07-20,2025-08-04,15,20159,17635,15173,En Investigacion,Manta,PER-101,"Hospitalizacion con factura elevada y diagnostico poco detallado; proveedor aparece en revision interna. Se observan inconsistencias entre factura, fecha y version declarada.",No,Si,136,229,3,25000,0.75,PP-D3-0004,Si,Si,No,1
SIN-D3-0005,POL-D3-0005,ASEG-D3-0008,Hogar,,Dano por Agua,2025-12-31,2026-01-04,4,28745,23466,0,Pendiente Documentos,Portoviejo,PER-101,"Perdida total reportada cerca del inicio de vigencia; documentos incompletos y relato cambia entre declaraciones. Se observan inconsistencias entre factura, fecha y version declarada.",No,Si,164,201,5,40000,0.78,,Si,Si,No,1
SIN-D3-0006,POL-D3-0006,ASEG-D3-0054,Vehiculos,CUE-4297,Danos Parciales,2025-06-30,2025-07-03,3,469,368,347,Liquidado,Santo Domingo,TALLER-101,"Golpe trasero en trafico lento; documentos completos, testigos presentes y relato consistente.",Si,No,81,284,0,15000,0.28,,No,Si,No,0
SIN-D3-0007,POL-D3-0007,ASEG-D3-0034,Vehiculos,GYE-5957,Choque,2026-01-26,2026-01-26,0,22410,17639,0,Observado,Quito,TALLER-104,"Robo sin testigos; el asegurado no recuerda hora exacta ni ruta, denuncia presentada varios dias despues. Se observan inconsistencias entre factura, fecha y version declarada.",Si,No,51,314,5,25000,0.86,PP-D3-0007,Si,Si,No,1
SIN-D3-0008,POL-D3-0008,ASEG-D3-0046,Vehiculos,CUE-2296,Perdida Total por Robo,2025-07-14,2025-07-15,1,4717,3753,3251,Pago Parcial,Ambato,TALLER-102,"Atencion medica por emergencia menor con historia clinica, factura y receta entregadas.",Si,No,152,213,0,40000,0.2,,No,Si,No,0
SIN-D3-0009,POL-D3-0009,ASEG-D3-0010,Vehiculos,AMB-7784,Robo,2025-10-09,2025-10-09,0,1280,1127,765,Cerrado,Santo Domingo,HOGAR-101,Filtracion por lluvia intensa documentada con factura de reparacion y evidencia fotografica.,Si,No,242,123,1,20000,0.3,PP-D3-0009,No,Si,No,0
SIN-D3-0010,POL-D3-0010,ASEG-D3-0033,Salud,,Medicamentos,2026-05-06,2026-05-07,1,7944,5889,4116,Pago Parcial,Cuenca,HOSP-102,Colision leve en interseccion con parte policial y fotografias claras; tercero identificado en sitio.,Si,No,305,60,0,25000,0.34,,No,Si,No,0
