ID Siniestro,ID Póliza,ID Asegurado,Ramo,Placa Vehículo Asegurado,Cobertura,Fecha Ocurrencia,Fecha Reporte,Días Ocurr→Reporte,Monto Reclamado ($),Monto Estimado ($),Monto Pagado ($),Estado,Sucursal,ID Proveedor,Descripción del Evento,Docs Completos,Prov. Lista Restrictiva,Días desde Inicio Póliza,Días hasta Fin Póliza,N° Reclamos Previos Asegurado,Suma Asegurada ($),Similitud Narrativa Máx.,Número Parte Policial,Documentos Inconsistentes,Tercero Identificado,Dinamica Sospechosa,Etiqueta Fraude Simulada
SIN-D1-0001,POL-D1-0001,ASEG-D1-0013,Vehiculos,PBA-1009,Robo,2026-07-25,2026-07-28,3,18843,14231,13246,Cerrado,Quito,HOGAR-102,"Atencion medica por emergencia menor con historia clinica, factura y receta entregadas.",Si,No,227,138,1,60000,0.25,,No,Si,No,0
SIN-D1-0002,POL-D1-0002,ASEG-D1-0040,Vehiculos,UIO-5424,Robo,2025-12-17,2025-12-19,2,3773,2935,2426,Pago Parcial,Manta,TALLER-101,"Atencion medica por emergencia menor con historia clinica, factura y receta entregadas.",Si,No,286,79,2,40000,0.27,,No,Si,No,0
SIN-D1-0003,POL-D1-0003,ASEG-D1-0040,Salud,,Emergencia,2025-10-19,2025-10-21,2,3671,3427,3317,Liquidado,Quito,HOSP-101,Filtracion por lluvia intensa documentada con factura de reparacion y evidencia fotografica.,Si,No,227,138,2,40000,0.32,,No,Si,No,0
SIN-D1-0004,POL-D1-0004,ASEG-D1-0018,Vehiculos,AMB-2481,Danos Parciales,2025-06-20,2025-06-20,0,7327,6827,6644,Cerrado,Quito,PER-101,Colision leve en interseccion con parte policial y fotografias claras; tercero identificado en sitio.,Si,No,78,287,1,25000,0.17,,No,Si,No,0
SIN-D1-0005,POL-D1-0005,ASEG-D1-0003,Vehiculos,CUE-9463,Responsabilidad Civil,2026-03-02,2026-03-02,0,3304,3117,2125,Cerrado,Quito,TALLER-101,Filtracion por lluvia intensa documentada con factura de reparacion y evidencia fotografica.,Si,No,196,169,0,60000,0.22,PP-D1-0005,No,Si,No,0
SIN-D1-0006,POL-D1-0006,ASEG-D1-0041,Salud,,Cirugia Ambulatoria,2025-10-14,2025-10-15,1,4581,4180,2895,Pago Parcial,Ambato,HOSP-101,"Dano parcial reportado el mismo dia con croquis, fotos y version coherente del asegurado.",Si,No,61,304,0,20000,0.11,,No,Si,No,0
SIN-D1-0007,POL-D1-0007,ASEG-D1-0044,Vehiculos,MNT-4960,Responsabilidad Civil,2026-06-17,2026-06-19,2,29663,28386,24248,Liquidado,Manta,HOGAR-101,"Atencion medica por emergencia menor con historia clinica, factura y receta entregadas.",Si,No,253,112,1,80000,0.19,PP-D1-0007,No,Si,No,0
SIN-D1-0008,POL-D1-0008,ASEG-D1-0009,Hogar,,Incendio,2026-05-29,2026-05-30,1,1053,979,733,Cerrado,Loja,HOSP-102,Filtracion por lluvia intensa documentada con factura de reparacion y evidencia fotografica.,Si,No,257,108,0,25000,0.35,,No,Si,No,0
SIN-D1-0009,POL-D1-0009,ASEG-D1-0040,Vehiculos,GYE-9795,Robo,2026-02-01,2026-02-01,0,2432,2179,1579,Liquidado,Guayaquil,PER-101,"Atencion medica por emergencia menor con historia clinica, factura y receta entregadas.",Si,No,272,93,0,25000,0.2,PP-D1-0009,No,Si,No,0
SIN-D1-0010,POL-D1-0010,ASEG-D1-0023,Vehiculos,CUE-8705,Responsabilidad Civil,2025-10-23,2025-10-26,3,5094,4309,3894,Cerrado,Ambato,HOGAR-101,"Atencion medica por emergencia menor con historia clinica, factura y receta entregadas.",Si,No,67,298,1,80000,0.34,PP-D1-0010,No,Si,No,0
