id_siniestro,id_poliza,id_asegurado,id_vehiculo,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,ciudad,descripcion,documentos_completos,documentos_inconsistentes,beneficiario,proveedor_en_lista_restrictiva,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,historial_siniestros_vehiculo,casos_observados_proveedor,suma_asegurada,solo_rc,tercero_identificado,dinamica_sospechosa,etiqueta_fraude_simulada
SIN-0001,POL-1001,ASE-001,VEH-001,Vehiculos,Choque,2026-01-03,2026-01-04,2200,2100,0,Reserva,Quito Norte,Quito,"Choque posterior en avenida principal con parte policial y fotografias.",Si,No,Taller Norte,No,120,245,1,0,0,0,18000,No,Si,No,0
SIN-0002,POL-1002,ASE-002,VEH-002,Vehiculos,Robo,2026-01-02,2026-01-09,17200,16500,0,Reserva,Guayaquil Centro,Guayaquil,"Robo total reportado varios dias despues, sin testigos identificados.",No,Si,Taller Delta,No,2,363,7,1,1,1,18000,No,No,No,1
SIN-0003,POL-1003,ASE-003,VEH-003,Vehiculos,Responsabilidad Civil,2026-01-18,2026-01-19,1200,1100,900,Pago Parcial,Cuenca,Cuenca,"Alcance leve a tercero en interseccion con documentacion completa.",Si,No,Taller Andino,No,240,120,1,1,0,0,15000,Si,Si,No,0
SIN-0004,POL-1004,ASE-004,VEH-004,Vehiculos,Perdida Total por Robo,2026-02-01,2026-02-06,28500,27000,0,Reserva,Quito Sur,Quito,"Perdida total por robo con denuncia tardia y documentos ilegibles.",No,Si,Taller Delta,Si,20,340,5,2,2,4,30000,No,No,No,1
SIN-0005,POL-1005,ASE-005,VEH-005,Vehiculos,Choque,2026-02-09,2026-02-10,4500,4300,0,Reserva,Manta,Manta,"Volcadura de madrugada, conductor indica perdida de pista sin tercero.",Si,No,Peritajes Andinos,No,45,315,1,0,0,2,16000,No,No,Si,1
SIN-0006,POL-1006,ASE-006,VEH-006,Vehiculos,Choque,2026-02-11,2026-02-12,900,850,850,Liquidado,Loja,Loja,"Impacto menor lateral en parqueadero, evidencia fotografica consistente.",Si,No,Taller Loja,No,310,55,1,0,0,0,12000,No,Si,No,0
SIN-0007,POL-1007,ASE-002,VEH-002,Vehiculos,Responsabilidad Civil,2026-03-01,2026-03-03,2500,2200,0,Reserva,Guayaquil Centro,Guayaquil,"Tercero reclama afectacion por alcance, relato similar a reclamo previo.",Si,No,Taller Delta,No,60,305,2,2,2,4,18000,Si,Si,No,1
SIN-0008,POL-1008,ASE-007,VEH-007,Vehiculos,Choque,2026-03-04,2026-03-15,15600,12000,0,Reserva,Quito Norte,Quito,"Dano severo sin rastro del tercero ni camaras disponibles.",No,No,Taller Norte,No,8,357,11,1,1,3,17000,No,No,No,1
SIN-0009,POL-1009,ASE-008,VEH-008,Vehiculos,Incendio,2026-03-10,2026-03-10,6000,5900,0,Reserva,Ambato,Ambato,"Incendio parcial con informe tecnico y facturas consistentes.",Si,No,Taller Ambato,No,190,175,0,0,0,0,22000,No,Si,No,0
SIN-0010,POL-1010,ASE-009,VEH-009,Vehiculos,Choque,2026-03-20,2026-03-21,15800,15500,0,Reserva,Quito Sur,Quito,"Choque frontal descrito de forma incompatible con danos laterales.",Si,Si,Peritajes Andinos,No,1,364,1,3,1,2,16000,No,Si,Si,1
